q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q12,27,0.0,0.0,0.0,0.23303613662719727,3.726683762579341e-05
Q12,28,0.0,0.0,0.0,0.14262638092041016,9.798580231290544e-06
Q12,29,0.0,0.0,0.0,-0.08696537017822266,-1.0740783227447537e-05
Q12,30,0.0,0.0,0.0,-0.8759842872619629,-0.00010986885406509828
Q12,31,0.0,0.0,0.0,-1.035102367401123,-0.00015537773472260597
Q13,0,0.1,0.0,-0.1,-0.7129311561584473,-0.0026390270043521015
Q13,1,0.1,0.1,0.0,-0.6229265213012696,0.0015432006284754607
Q13,2,0.1,0.2,0.1,0.37086896896362304,0.01597108259848028
Q13,3,0.1,0.2,0.1,0.5631330490112305,0.016820580307557974
Q13,4,0.1,0.2,0.1,0.8561795234680176,0.020012010243681287
Q13,5,0.1,0.5,0.4,1.3234942436218262,0.04063604452157961
Q13,6,0.1,0.4,0.30000000000000004,1.3424744606018066,0.04040095036225466
Q13,7,0.1,0.4,0.30000000000000004,1.3819085121154786,0.04425297267498536
Q13,8,0.1,0.6,0.5,1.6850157737731934,0.07173043275570308
Q13,9,0.1,0.7,0.6,2.11790189743042,0.11803284585212168
Q13,10,0.1,0.7,0.6,2.3741082191467284,0.16959340174207682
Q13,11,0.1,0.6,0.5,2.4517664909362793,0.16295327158049985
Q13,12,0.1,0.6,0.5,2.643759250640869,0.21012750265172145
Q13,13,0.1,0.6,0.5,2.623447227478027,0.23165890047030188
Q13,14,0.1,0.6,0.5,2.7019566535949706,0.29329294908902737
Q13,15,0.1,0.7,0.6,2.2961715698242187,0.18044056879143683
Q13,16,0.1,0.6,0.5,2.0307554244995116,0.12049396384481952
Q13,17,0.1,0.3,0.19999999999999998,1.520921230316162,0.056794998083660175
Q13,18,0.1,0.2,0.1,1.3550143241882324,0.04467074117628726
Q13,19,0.1,0.2,0.1,1.1334945678710937,0.030525968440906583
